name,shade,price,image
kay ,pink,350,https://images-static.nykaa.com/media/catalog/product/f/2/f2ad189KAYBE00000053_2.jpg
maybelline,red,400,"https://images-static.nykaa.com/media/catalog/product/4/9/49f98a38904245703233_1.jpg?tr=w-500,pr-true"
nykaa,pink,500,https://beautypalace.s3.amazonaws.com/images/salontrix/8904245703226p
nykaa,berry,300,https://www.nykaa.com/beauty-blog/wp-content/uploads/images/issue219/Blush-It-Up.jpg
nykaa,redish,400,"https://images-static.nykaa.com/media/catalog/product/1/7/17fb8a38904245703226_3.jpg?tr=w-500,pr-true"
nykaa,redish,400,"https://images-static.nykaa.com/media/catalog/product/1/7/17fb8a38904245703226_3.jpg?tr=w-500,pr-true"
flower,rose,300,"https://images-static.nykaa.com/media/catalog/product/9/9/9903aefFLOWE00000040_1.jpg?tr=w-500,pr-true"
flowers,berry,100,https://images-static.nykaa.com/media/catalog/product/d/9/d98a61c840797106000_1.jpg
kay ,floral,500,https://images-static.nykaa.com/media/catalog/product/8/9/8904330900714_1.jpg
s,s,100,"https://images-static.nykaa.com/media/catalog/product/f/2/f2ad189KAYBE00000053_3.jpg?tr=w-500,pr-true"
t,t,50,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg
r,r,10,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg
w,w,3,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg
f,floral,4,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg
q,q,1,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg
j,j,7,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg
o,o,9,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg
kay ,k,6,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg
m,m,5,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg
a,a,1,https://images-static.nykaa.com/media/catalog/product/8/9/8904245709471_1_3.jpg
